Number,Boat type,Crew,Class,Start time,Finish time,Raw time,Category,Time with adjustment,Vet adjustment,
229,2x-,Champs Millar,M MasD,01:52:15,02:03:06,00:10:51,2x- M Mas,00:10:51,,
453,2x-,Cantabrigian Forbes/Saunders,W J14,00:38:03,00:52:23,00:14:20,2x- W J14,00:14:20,,
252,2x-,RobRoy Juniors Harrison/Lawrence,W J15,02:02:58,02:17:57,00:14:59,2x- W J15,00:14:59,,
251,2x-,Deben,W J16,02:01:50,02:14:10,00:12:20,2x- W J16,00:12:20,,
324,2x-,RobRoy ARKW,W MasC,02:25:18,02:37:50,00:12:32,2x- W Mas,00:12:12,00:00:20,YES
244,2x-,PB&D T/F,W MasB,01:59:04,02:11:45,00:12:41,2x- W Mas,00:12:34,00:00:07,
439,2x-,PB&D T/F,W MasC,,,,,,00:00:20,
139,2x-,Wolfson,W Nov,01:13:16,01:25:30,00:12:14,2x- W Nov,00:12:14,,
323,2x-,City Nat/Pats,W Nov,02:25:40,02:38:52,00:13:12,2x- W Nov,00:13:12,,
425,2x-,Deben,X IM3,00:27:51,00:38:50,00:10:59,2x- X IM3,00:10:59,,
417,4+,99 Argyle,M IM2,02:18:06,02:28:03,00:09:57,4+ M IM,00:09:57,,NOT
232,4+,City,M IM1,01:53:34,02:03:48,00:10:14,4+ M IM,00:10:14,,
418,4+,99 Flower,M IM3,02:18:25,02:29:03,00:10:38,4+ M IM,00:10:38,,
315,4+,Broxbourne,M MasD,02:22:00,02:32:31,00:10:31,4+ M Mas,00:09:57,00:00:34,NOT
231,4+,Cantabrigian Walker,M MasF,01:53:52,02:06:50,00:12:58,4+ M Mas,00:11:52,00:01:06,
316,4+,Broxbourne,M MasF,02:22:26,02:36:13,00:13:47,4+ M Mas,00:12:41,00:01:06,
416,4+,Selwyn,M Mays M1,00:24:27,00:34:21,00:09:54,4+ M Mays M1,00:09:54,,NOT
306,4+,Downing,M Mays M1,02:17:28,02:27:30,00:10:02,4+ M Mays M1,00:10:02,,
204,4+,Kings,M Mays M1,01:39:15,01:49:39,00:10:24,4+ M Mays M1,00:10:24,,
113,4+,Pembroke,M Mays M1,00:59:54,01:10:31,00:10:37,4+ M Mays M1,00:10:37,,
423,4+,Pembroke,M Mays M2,00:27:03,00:38:45,00:11:42,4+ M Mays M2,00:11:42,,
233,4+,City Topsom,M Nov,01:54:29,02:05:46,00:11:17,4+ M Nov,00:11:17,,
234,4+,Rad,M Nov,01:55:01,02:07:39,00:12:38,4+ M Nov,00:12:38,,
239,4+,Wolfson,W Mays Other,01:57:54,02:10:42,00:12:48,4+ W Mays Other,00:12:48,,
321,4+,99 A,W Nov,02:24:33,02:36:44,00:12:11,4+ W Nov,00:12:11,,NOT
322,4+,99 B,W Nov,02:24:56,02:37:38,00:12:42,4+ W Nov,00:12:42,,
140,4+,Cantabrigian,W Nov,01:13:45,01:27:06,00:13:21,4+ W Nov,00:13:21,,
310,4x-,City Junior Smart,M J16,02:19:02,02:29:14,00:10:12,4x- M J16,00:10:12,,YES
238,4x-,RobRoy Juniors Leigh,M J16,01:56:58,02:10:14,00:13:16,4x- M J16,00:13:16,,
435,4x-,Leys School,M J18,00:30:36,00:42:22,00:11:46,4x- M J18,00:11:46,,
119,4x-,Hornets,M MasF,01:03:13,01:14:06,00:10:53,4x- M Mas,00:09:42,00:01:11,YES
118,4x-,Champs Christy,M MasE,01:02:46,01:13:53,00:11:07,4x- M Mas,00:10:15,00:00:52,
429,4x-,Leys School,M Nov,00:30:11,00:40:21,00:10:10,4x- M Nov,00:10:10,,
241,4x-,99 SHBB,W IM3,01:56:49,02:07:57,00:11:08,4x- W IM3,00:11:08,,
144,4x-,RobRoy Juniors Brown,W J16,01:14:55,01:27:44,00:12:49,4x- W J16,00:12:49,,
120,4x-,RobRoy,W MasB,01:03:52,01:15:10,00:11:18,4x- W Mas,00:11:12,00:00:06,YES
237,4x-,Champs,W MasC,01:55:52,02:07:45,00:11:53,4x- W Mas,00:11:34,00:00:19,
129,4x-,Cantabrigian FitzGerald,W MasC,01:08:41,01:21:41,00:13:00,4x- W Mas,00:12:41,00:00:19,
222,4x-,Cantabrigian Seaber,X MasE,01:48:23,02:00:03,00:11:40,4x- X Mas,00:11:40,,
317,4x-,Cantabrigian Frazer,X Nov,02:22:51,02:35:24,00:12:33,4x- X Nov,00:12:33,,
